"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"77",0,0,0,0,-0.210000000000008,0,-0.3,0,0,16.4099999999999,-66.79,-57.11,-3299,5270,0,-0.306534909999996,8.10000000000002
"78",0,2605,989.699999999953,1591.29999999999,-0.199999999999989,0,0,-1.6,0.299999999999997,30,-110.26,-7.49000000000001,4635,5528,18,-0.211721690000005,105.6
"79",0,0,0,0,0.919999999999987,0,0.3,0,0,-1.64999999999986,-0.449999999999818,38.62,-466,5176,0,-0.342981049999992,16.4000000000001
"80",0,0,0,0,0.800000000000011,0,-0.4,0,0,-0.550000000000182,23.5299999999997,-99.67,4382,5698,0,-0.828455770000005,-12.3000000000001
"81",0,3929.19999999995,-1179.09999999998,-1088.29999999999,-0.190000000000012,0.3,-0.1,1.3,-0.799999999999997,10.21,-153.85,-37.1700000000001,-955,4030,19.3999999999999,-0.229872040000004,-44.1999999999999
"82",0.25,0,0,0,-0.75,0,-0.3,0,0,-2.23000000000002,-70.1500000000001,-11.29,-8761,2596,0,-0.0289177899999942,4
"83",0,0,0,0,-0.359999999999999,0,0.2,0,0,-5.67999999999984,-13.1999999999998,13.97,-1258,1582,0,-0.0320978200000042,-15.5
"84",0,-1555.59999999998,847.5,266.599999999977,-0.109999999999999,-1.2,1.1,-1,-0.799999999999997,-0.900000000000091,31.8499999999999,49.25,410,228,5.10000000000014,-6.52429704999999,5.19999999999993
"85",0,0,0,0,0.450000000000003,0,0.2,0,0,0.450000000000045,108.22,2.73000000000002,-2375,3251,0,-0.179577340000002,28.3000000000001
"86",0,0,0,0,-0.200000000000003,0,-0.4,0,0,8.26999999999998,-48.29,13.2399999999999,1839,3637,0,-0.13236698,44.3
"87",0,4628.40000000002,-2868,-910.099999999977,0.38000000000001,1.3,0.100000000000001,1.7,0,10.23,50.21,-40.55,-189,3588,16.3,0.00483183000000054,92.6
"88",0,0,0,0,0.179999999999993,0,-0.4,0,0,42.3399999999999,-125.22,-0.659999999999968,1003,3576,0,0.0319077199999995,84.1
"89",0,0,0,0,-0.170000000000002,0,0,0,0,-7.67000000000007,18.4000000000001,-46.99,3927,2297,0,0.0203794800000026,33.7
"90",-0.25,1730.89999999997,-29.2999999999884,1815.59999999998,-0.319999999999993,-0.6,-0.1,-1.4,0.299999999999997,-0.309999999999945,-25.8200000000002,-72.4300000000001,2392,2976,13.4000000000001,-0.0214893799999984,-27.4000000000001
"91",0,0,0,0,0.25,0,-0.9,0,0,33.6700000000001,-135.24,37.9100000000001,363,1926,0,-0.00804049999999989,-50
"92",0,0,0,0,0.390000000000001,0,0.1,0,0,-11.4300000000001,100.97,12.01,-2477,1715,0,-0.0179573400000024,50.7
"93",-0.25,6069.5,2896.20000000001,2893.59999999998,0.259999999999991,0.9,-0.1,-0.0999999999999979,-0.600000000000001,-13.4199999999998,20.54,11.92,2910,1452,23.1999999999998,-0.135942589999999,-9.40000000000009
"94",0,0,0,0,-0.589999999999989,0,0.1,0,0,-16.6800000000001,63.04,-16.35,639,722,0,-0.16000133,-5.39999999999986
"95",0,0,0,0,0.25,0,0.3,0,0,8.38999999999987,18.2200000000003,30.58,3266,-1566,0,-0.336928660000005,-45.5000000000001
"96",0,-6008.79999999999,-2796.40000000002,-3449,0.670000000000002,-2.6,0.7,0.399999999999999,1.6,-11.5599999999999,56.4299999999998,-3.82000000000005,-753,-2352,17.2,-1.18273086,-110
"97",0,0,0,0,0.00999999999999091,0,0,0,0,29.51,-36.3200000000002,-117.86,-1030,-2882,0,0.111943850000003,32.4
"98",-0.5,0,0,0,-0.259999999999991,0,0.100000000000001,0,0,26.3,-380.37,66.16,-994,-1432,0,0.0187729000000019,-22.3
"99",0,-14596.2,-8584.90000000002,-10073.7,-0.590000000000003,-1.9,0,1.5,-1.5,5.1400000000001,62.8399999999999,79.6999999999999,-8189,-671,24.2,0.0827643099999946,35
"100",-0.25,0,0,0,-0.240000000000009,0,0.3,0,0,3.44000000000005,115.58,48.2700000000001,2435,-1153,0,0.120015810000005,99
"101",0,0,0,0,0.160000000000011,0,-0.2,0,0,-18.6600000000001,169.53,37.4499999999999,5994,-1963,0,0.0563276600000009,70.5
"102",0,9574.40000000002,11754.9,10511.5,-0.0100000000000051,5.3,-0.3,-1.9,1.2,-11.1099999999999,61.25,54.27,8277,444,39.7,-0.372649700000004,4.79999999999995
"103",0,0,0,0,0.640000000000001,0,-0.9,0,0,-12.0500000000002,153.92,30.24,-11761,101,0,0.0441833000000003,91.6000000000001
"104",0,0,0,0,0.700000000000003,0,0.5,0,0,-8.04999999999995,21.6500000000001,-32.89,930,1833,0,0.148639240000001,3
"105",0,5611.29999999999,3607.59999999998,6386.19999999995,-0.590000000000003,-0.9,0.1,0,1.5,-34.1199999999999,-13.6999999999998,18.14,-2931,-3770,44.5,0.19103767,-14.2
"106",0,0,0,0,-0.109999999999999,0,-0.3,0,0,-27.9200000000001,146.36,77.24,272,-3714,0,0.344241949999997,91.5999999999999
"107",0,9207.20000000001,9848.30000000005,11522.5,0.969999999999999,0.5,2.3,0.199999999999999,0.199999999999996,-19.27,585.09,47.29,3456,-8370,35.8,0.560151019999999,42.9000000000001
"108",0,0,0,0,0.530000000000001,0,-0.8,0,0,14.23,3.13999999999987,-18.3299999999999,-5200,-1790,0,-0.0284100299999963,-24.1000000000001
"109",0,0,0,0,0.159999999999997,0,-0.600000000000001,0,0,19.3,-59.9400000000001,-21.65,-468,-118237,0,-0.00422136000000251,-29.1999999999998
"110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
