idx,날짜,기준금리(%)1,국내총생산(시장가격 GDP)(십억원)1,국내총소득(GDI)1,국민총소득(GNI)1,소비자물가지수(2015 = 100),경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원)8,KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(전국),총 인구(명)1,가계대출(조원)1,평균전세가율(전국)1,평균아파트매매가격(전국)
98,2010년 2월,2,348541.7,339582.2,340962.7,89.974,2,3.3,33.7,34.9,1261.35,1598.96,535.44,56014,49810609,740.8,,244
99,2010년 3월,2,348541.7,339582.2,340962.7,90.156,2,3.5,33.7,34.9,1263.97,1665.5,505.32,62064,49835331,740.8,,229.6
100,2010년 4월,2,348541.7,339582.2,340962.7,90.338,2,5,31.4,35.9,1238.4,1730.29,518.7,73895,49862894,740.8,,216.8
101,2010년 5월,2,355163.3,346946.5,348176.8,90.702,1.9,4.8,31.4,35.9,1219.15,1648.3,512.86,67556,49889125,756.9,,220.3
102,2010년 6월,2,355163.3,346946.5,348176.8,90.793,1.9,4.1,31.4,35.9,1175.25,1691.94,497.85,55435,49913379,756.9,,224.6
103,2010년 7월,2,355163.3,346946.5,348176.8,90.702,1.9,3.7,32.1,35.6,1164.23,1731.12,493.3,57851,49934126,756.9,,221.9
104,2010년 8월,2.25,359266.2,351857.4,353549.2,90.884,1.2,3.2,32.1,35.6,1166.45,1762.18,490.97,55447,49955240,771,,227.6
105,2010년 9월,2.25,359266.2,351857.4,353549.2,91.34,1.2,3.5,32.1,35.6,1138.82,1815.75,475.35,51744,49976963,771,,237.1
106,2010년 10월,2.25,359266.2,351857.4,353549.2,92.068,1.2,3.7,33.4,34.5,1157.08,1889.7,482.36,52550,50001273,771,,251.4
107,2010년 11월,2.25,363646.8,351046.3,348931.8,92.068,1.2,3.3,33.4,34.5,1137.64,1924.71,509.94,65937,50475351,793.8,,276.6
108,2010년 12월,2.5,363646.8,351046.3,348931.8,91.613,1.2,3.4,33.4,34.5,1117.11,2002.5,514.88,78266,50495462,793.8,,282.9
109,2011년 1월,2.5,363646.8,351046.3,348931.8,91.977,1.2,3.3,33.9,34.3,1163.11,2091.61,505.36,99378,50515666,793.8,,286.6
110,2011년 2월,2.75,367040.1,347744.6,348249.7,93.07,0.9,3,33.9,34.3,1212.33,2002.87,528.6,71306,50534731,806.4,,271.1
111,2011년 3월,2.75,367040.1,347744.6,348249.7,93.707,0.9,3.5,33.9,34.3,1207.3,2002.67,517.58,73658,50555262,806.4,,254.8
112,2011년 4월,3,367040.1,347744.6,348249.7,94.072,0.9,3.8,34.7,34.3,1179.92,2153.13,510.59,91085,50575130,806.4,,249.6
