idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(강원),총 인구(명),가계대출(조원),평균전세가율(강원),평균아파트매매가격(강원)
72,2007년 12월,5,330073.8,322265.2,321277,83.072,2.2,3,32.1,34.2,937.02,1815.02,755.69,1802,,630.1,,104
73,2008년 1월,5,330073.8,322265.2,321277,83.386,0.4,3.1,32.1,33.2,943.26,1879.03,722.26,1993,,630.1,,109.1
74,2008년 2월,5,331402,319817.7,320608.2,83.777,0.4,3.3,33.4,33.2,931.5,2004.55,667.12,2585,49297732,641.7,,105.4
75,2008년 3월,5,331402,319817.7,320608.2,84.092,0.4,3.5,33.4,33.2,927.91,1924.84,647.38,3606,49329973,641.7,,107.3
76,2008년 4월,5,331402,319817.7,320608.2,84.876,0.5,3.4,33.4,33.5,928.32,1903.99,627.49,3402,49324670,641.7,,109.8
77,2008년 5월,5,333136.8,319443.8,318836.2,85.347,0.5,3.2,33.7,33.5,918.85,1732.29,647.78,2919,49355153,660.8,,114.1
78,2008년 6월,5,333136.8,319443.8,318836.2,86.052,0.5,3.1,33.7,33.5,933.8,1689.53,649.49,3445,49380296,660.8,,118.8
79,2008년 7월,5,333136.8,319443.8,318836.2,86.601,0.8,3.1,33.7,33.1,932.41,1651.15,619.33,3458,49387462,660.8,,117.7
80,2008년 8월,5,335854.8,318949.2,317404.7,87.229,0.8,3.1,35,33.1,915.86,1776.58,536.92,2479,49416162,675,,115.8
81,2008년 9월,5.25,335854.8,318949.2,317404.7,87.072,0.8,3.1,35,33.1,916.98,1846.75,507.14,2505,49441742,675,,115
82,2008년 10월,5.25,335854.8,318949.2,317404.7,87.151,-3.3,3,35,34,930.24,1758.17,444.16,2174,49469003,675,,106.3
83,2008년 11월,4.25,324825.7,308136.4,309824.5,87.072,-3.3,3,36.7,34,942.39,1569.6,348.31,2019,49495874,683.6,,104.8
84,2008년 12월,4,324825.7,308136.4,309824.5,86.837,-3.3,3,36.7,34,944.69,1537.55,310.48,2503,49516085,683.6,,98.6
85,2009년 1월,3,324825.7,308136.4,309824.5,86.837,0.1,3.3,36.7,33.8,979.86,1446.56,324.98,1060,49540367,683.6,,115.4
86,2009년 2월,2.5,325118,311304,310313.4,86.916,0.1,3.6,29.2,33.8,986.66,1201.7,355.1,1726,49552045,684.4,,111
87,2009년 3월,2,325118,311304,310313.4,87.543,0.1,3.9,29.2,33.8,1036.73,1073.95,377.44,1858,49577741,684.4,,112.7
88,2009년 4월,2,325118,311304,310313.4,88.17,1.3,4,29.2,33,1029.27,1114.9,390.98,1662,49596381,684.4,,115.2
89,2009년 5월,2,329451.1,324948.2,325010.6,88.405,1.3,3.8,26.8,33,1019.12,1156.37,484.22,1535,49593665,700.1,,115.5
90,2009년 6월,2,329451.1,324948.2,325010.6,88.405,1.3,3.8,26.8,33,1041.54,1139.75,533.82,2795,49618780,700.1,,116.7
91,2009년 7월,2,329451.1,324948.2,325010.6,88.327,3,3.8,26.8,33.9,1130.4,1140.45,516.39,2211,49642216,700.1,,114.1
92,2009년 8월,2,339310.5,330947.5,330728.8,88.641,3,3.7,27.8,33.9,1326.92,1322.1,496.39,2720,49665471,717,,122.9
93,2009년 9월,2,339310.5,330947.5,330728.8,88.955,3,3.7,27.8,33.9,1390.09,1400.5,515.61,3052,49688156,717,,121.6
94,2009년 10월,2,339310.5,330947.5,330728.8,89.034,0.7,3.3,27.8,33.4,1373.84,1395.24,523.16,2483,49711355,717,,122.1
