idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(전국),총 인구(명),가계대출(조원),평균전세가율(전국),평균아파트매매가격(전국)
146,2014년 2월,2.5,399560.7,385013.6,384827.8,99.071,1,4.5,29.6,34.6,1071.3,1937.73,541.28,86667,51171176,965.3,69.32865038,314.9
147,2014년 3월,2.5,399560.7,385013.6,384827.8,99.253,1,3.9,29.6,34.6,1070.89,1952.43,559.97,90791,51185882,965.3,69.55751607,299.9
148,2014년 4월,2.5,402957.7,387117,389621.2,99.317,0.9,3.8,29.5,35.1,1044.55,1991.19,551,90706,51202130,978.4,69.64861836,291.3
149,2014년 5월,2.5,402957.7,387117,389621.2,99.481,0.9,3.5,29.5,35.1,1024.99,1994.13,532.72,76264,51218424,978.4,69.6895689,293
150,2014년 6월,2.5,402957.7,387117,389621.2,99.353,0.9,3.5,29.5,35.1,1019.36,1995.08,554.68,76001,51233579,978.4,69.76015831,299.6
151,2014년 7월,2.5,404195.7,389656.7,391668.7,99.499,0.3,3.4,30.2,34.8,1019.93,2021.95,556.76,85012,51250261,999,69.84409161,311.1
152,2014년 8월,2.25,404195.7,389656.7,391668.7,99.672,0.3,3.3,30.2,34.8,1025.36,2060.93,573.43,85956,51266779,999,69.929335,328.5
153,2014년 9월,2.25,404195.7,389656.7,391668.7,99.608,0.3,3.1,30.2,34.8,1033.24,2042.71,557.55,93313,51284774,999,70.01247451,326
154,2014년 10월,2,406003.3,395026.3,398289,99.308,0.4,3.2,29.5,35.5,1060.28,1942.8,542.29,114923,51302044,1025.1,70.09615046,315.6
155,2014년 11월,2,406003.3,395026.3,398289,99.108,0.4,3,29.5,35.5,1095.1,1959.65,539.52,95776,51314683,1025.1,70.2050329,311.8
156,2014년 12월,2,406003.3,395026.3,398289,99.098,0.4,3.3,29.5,35.5,1104.33,1941.93,577.28,102316,51327916,1025.1,70.33515967,321.9
157,2015년 1월,2,409483.1,408312.2,412619.6,99.77,0.9,3.7,29,36.9,1088.86,1920.99,605.85,90006,51342881,1039.3,70.45002904,330.5
158,2015년 2월,2,409483.1,408312.2,412619.6,99.71,0.9,4.5,29,36.9,1098.4,1961,634.72,85517,51360454,1039.3,70.57085069,339.7
159,2015년 3월,1.75,409483.1,408312.2,412619.6,99.72,0.9,4,29,36.9,1112.57,2012.62,685.35,116022,51378174,1039.3,70.72089258,341.9
160,2015년 4월,1.75,411150.7,410199.7,409987.4,99.75,0.4,3.9,29.3,36.1,1088.66,2107.27,697.55,121540,51395238,1072,70.90555465,340.4
161,2015년 5월,1.75,411150.7,410199.7,409987.4,100.03,0.4,3.7,29.3,36.1,1091.27,2114.9,722.83,108948,51413925,1072,71.02650233,344.9
162,2015년 6월,1.5,411150.7,410199.7,409987.4,100.05,0.4,3.8,29.3,36.1,1112.2,2063.69,753.83,107956,51431100,1072,71.14469742,346.1
163,2015년 7월,1.5,417190.5,418259.9,419416.6,100.23,1.5,3.6,29.9,36.9,1143.22,2058.03,698.16,114610,51448183,1101.4,72.88312199,353.6
164,2015년 8월,1.5,417190.5,418259.9,419416.6,100.37,1.5,3.4,29.9,36.9,1179.1,1952.55,672.04,93744,51465228,1101.4,72.93923879,342
165,2015년 9월,1.5,417190.5,418259.9,419416.6,100.11,1.5,3.2,29.9,36.9,1184.76,1939.58,683.14,88082,51482816,1101.4,73.05270661,354.2
166,2015년 10월,1.5,420196,421248.6,421182.9,100.11,0.7,3.1,29.9,35.8,1148.18,2020.57,680.23,103565,51500986,1138,73.15084119,357.5
167,2015년 11월,1.5,420196,421248.6,421182.9,99.92,0.7,3,29.9,35.8,1151.97,2006.78,665.95,101400,51515399,1138,73.31022863,354.9
